"","v_bh","v_con","v_new"
"431",1004472.55178497,1036659.58855953,1004472.55178497
"432",1048249.34183666,1080136.43375946,1048249.34183666
"433",1516932.44781903,1478637.87558717,1477019.15820313
"434",873015.074667789,888100.613675007,873015.074667789
"435",1236142.68761702,1256409.60595827,1302326.55478668
"436",898279.19951703,918984.907620225,963760.282815795
"437",1129431.56106362,1161354.51875329,1129431.56106362
"438",935316.715786021,960398.508845091,935316.715786021
"439",740335.002520057,706061.819533032,740335.002520057
"440",1157988.6803723,1185141.64665412,1177912.52140345
"441",714257.622801192,666330.772502408,714257.622801192
"442",837119.427217044,843682.270851775,837119.427217044
"443",1232848.88483512,1254696.72019114,1240658.14649037
"444",1699550.26273371,1610241.56160341,1623503.63755886
"445",746709.800540523,716596.979036678,746709.800540523
"446",1470298.26905365,1442609.65134662,1438121.17687869
"447",1604658.42079484,1544335.5102628,1549669.48882223
"448",1190649.04977997,1213858.71655265,1205169.00820785
"449",931736.254430293,958124.05510406,931736.254430293
"450",707120.675344013,654312.94918098,707120.675344013
"451",1417738.63548071,1405766.18507974,1394363.02839311
"452",909359.573394555,931734.514617008,909359.573394555
"453",736099.289685406,699928.98675429,736099.289685406
"454",1132203.42527181,1162097.07520057,1156364.25214891
"455",998349.559438192,1029655.9498499,1045288.60146377
"456",1103670.88783716,1133831.47275748,1103670.88783716
"457",1431871.16003329,1415474.58498498,1406161.78719646
"458",1002374.30283704,1033768.77741694,1049563.15779822
"459",2042029.29903509,1824526.98545479,1860916.18270962
"460",953279.058135937,980869.030168947,1009549.68513448
"461",1167182.61495162,1194562.29718637,1188355.06279316
"462",1237732.98070714,1256748.79184902,1244400.80716714
"463",1147783.38114032,1174819.5396095,1169527.10798884
"464",1427535.61794276,1410795.89046222,1402288.64940336
"465",1172020.505449,1198984.27254141,1172020.505449
"466",1111120.84975631,1144340.16835373,1111120.84975631
"467",979153.517627537,1010770.69103689,979153.517627537
"468",800456.039432296,794795.948313066,800456.039432296
"469",771733.452157659,753585.728332301,771733.452157659
"470",897114.0492507,917289.806205795,897114.0492507
"471",1581311.14606244,1525837.18271663,1542208.0177955
"472",761621.028596965,739409.779187885,761621.028596965
"473",1817875.27136941,1686505.67523434,1706662.38399144
"474",898368.669072116,918422.376275736,898368.669072116
"475",1054818.41831317,1088788.13067062,1054818.41831317
"476",1165562.52807909,1191150.40455426,1165562.52807909
"477",796904.758637375,791163.451968868,796904.758637375
"478",1037023.17722438,1069550.26228914,1078733.37269629
"479",776843.477124426,761944.747745971,776843.477124426
"480",1611359.34373459,1546969.57372407,1562338.40656843
"481",1254934.72730661,1269975.95810767,1259712.54937333
"482",918496.295728485,942475.509527913,918496.295728485
"483",1427372.22864567,1411446.47712262,1435559.74371992
"484",993243.882932471,1025080.55668342,993243.882932471
"485",1389211.45024473,1382238.16153929,1370856.81537202
"486",871860.018837241,885488.474291591,871860.018837241
"487",1060548.11031565,1093549.67685259,1060548.11031565
"488",1012181.92025375,1043979.30800801,1012181.92025375
"489",1016463.77759806,1048516.34711201,1016463.77759806
"490",707411.334809029,655008.924875736,707411.334809029
"491",942779.209600276,969664.18940365,942779.209600276
"492",1773100.08454599,1657677.49626379,1676112.17332256
"493",852218.502168836,863364.451331376,924345.656882923
"494",1199117.97079686,1223194.69512771,1211939.87243428
"495",1331767.56617541,1336401.25736876,1323073.82051445
"496",2014642.01578065,1807733.18885761,1842309.434621
"497",794617.913587803,786110.256155164,794617.913587803
"498",964341.105973459,994424.46427485,964341.105973459
"499",1332476.45246559,1334795.64130836,1323004.6735876
"500",1387608.46656242,1381203.09765939,1369251.88866384
"501",873081.85285879,888179.009785933,873081.85285879
"502",1900001.16900612,1738216.07427763,1764328.13804829
"503",1146829.72362289,1175418.92045916,1170681.98837167
"504",1074572.74334247,1106428.83351602,1111482.67967998
"505",1344188.86266814,1345427.50760069,1333340.32040431
"506",968611.973521885,998010.857115008,968611.973521885
"507",1001407.23428641,1032262.20741057,1001407.23428641
"508",1414067.70521485,1400841.40874237,1429286.57218356
"509",1573787.48512565,1517759.17031742,1537131.29454609
"510",1617785.01517676,1551763.09724617,1567388.95933012
"511",1287142.302674,1296588.3425785,1337459.5493931
"512",774522.981071444,758336.203810987,774522.981071444
"513",987203.59366819,1017661.85072227,987203.59366819
"514",1102965.64412892,1132863.0448939,1132711.1281795
"515",1046505.50124119,1079878.16419089,1084727.05836883
"516",914499.514367782,935725.767796274,977063.036113546
"517",1415220.88128791,1402293.17656597,1425920.26662571
"518",1241677.15725968,1258856.19595732,1248147.57833623
"519",1135279.25836257,1165431.6815981,1159952.79825099
"520",1078957.72750373,1112364.11699314,1078957.72750373
"521",1222150.40089959,1244577.72512476,1231501.06231137
"522",1425222.09940649,1409458.7282065,1400934.12980673
"523",853912.097377924,864663.762529233,853912.097377924
