"","v_bh","v_con","v_new"
"280",736308.198766122,701216.109344667,736308.198766122
"281",781385.809735657,768660.009568753,864594.874617881
"282",1314384.20306382,1322092.02740508,1307911.92496354
"283",994578.067939618,1026502.55977268,994578.067939618
"284",1145562.7285633,1175628.92838937,1168306.27206939
"285",984217.188023085,1015062.26239159,984217.188023085
"286",1187417.38834886,1213714.55950912,1202473.13039927
"287",765312.337670745,744222.586075362,853389.076116537
"288",847275.836526595,854184.953666139,847275.836526595
"289",1048935.82797306,1082274.82909405,1048935.82797306
"290",1130576.8800367,1159473.21510273,1130576.8800367
"291",1015958.67000416,1048332.45564192,1015958.67000416
"292",894326.362532405,913625.704205857,894326.362532405
"293",1488853.84728976,1457060.73150676,1453704.92712683
"294",810409.887528521,808084.235264581,810409.887528521
"295",900476.785629031,919847.346366471,900476.785629031
"296",948809.95065528,977494.414102476,948809.95065528
"297",1067583.3252089,1101136.14286053,1067583.3252089
"298",762684.934840094,740848.796589167,762684.934840094
"299",994635.273111205,1026638.88981595,1043827.20349614
"300",708092.015560219,656103.009037886,708092.015560219
"301",1098980.94174185,1129759.96704673,1211554.27116237
"302",1004432.89613374,1036694.10812474,1004432.89613374
"303",883550.888550421,900513.376767551,883550.888550421
"304",986048.870491381,1017203.06672947,986048.870491381
"305",882173.710044431,899835.99546691,951821.608225779
"306",789097.347889331,777890.606791245,789097.347889331
"307",918726.158479851,942937.302936611,918726.158479851
"308",1076655.08774834,1110078.15263849,1111973.54357964
"309",1590169.62659364,1534144.3888474,1549813.45889055
"310",862066.030690982,874319.381748022,932095.054639757
"311",911247.422793051,932686.756795852,911247.422793051
"312",781627.842982705,767987.306255577,781627.842982705
"313",1448880.85884948,1426971.56915806,1420229.14258263
"314",889087.795011056,906854.457936585,889087.795011056
"315",1393169.56220823,1385100.98220347,1374036.53463199
"316",1506710.48758051,1470256.28511795,1489592.5349657
"317",1091407.69222921,1123779.79053174,1091407.69222921
"318",931898.197126784,956974.901763933,931898.197126784
"319",845737.479286573,852887.225289511,845737.479286573
"320",1194754.04693597,1219752.66863044,1194754.04693597
"321",881957.477338449,899661.444296283,881957.477338449
"322",1163450.70417084,1191566.1577371,1163450.70417084
"323",924496.869567867,948929.629458991,924496.869567867
"324",3893202.42115341,2713511.06956099,2878062.69325772
"325",1361608.7405848,1361876.81040663,1347637.2687634
"326",814701.798844354,813852.68534281,814701.798844354
"327",1572832.95289625,1517584.04507371,1523327.33758142
"328",1366201.62769211,1362742.0337483,1351425.55876507
"329",1112603.64224785,1146186.57704258,1112603.64224785
"330",1311447.89149531,1317812.07056984,1355464.51043074
"331",1012507.47436189,1045085.96643278,1012507.47436189
"332",1424483.67381878,1408681.23511991,1400028.80901557
"333",820723.645871238,820631.706023968,820723.645871238
